geographicAreaM49_description,geographicAreaM49,aquastatElement,aquastatElement_description,timePointYears,Value,unit
Western Asia,145,4550,SDG 6.4.2. Water Stress,1992,0.455787308,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1993,0.59718638,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1994,0.610916406,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1995,0.637785662,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1996,0.653994975,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1997,0.668326206,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1998,0.677203054,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,1999,0.6924796,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,2000,0.710236552,%
Western Asia,145,4550,SDG 6.4.2. Water Stress,2001,0.711411847,%
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2006,0.862921561,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2007,0.928106098,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2008,0.913642559,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2009,0.937975021,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2010,1.058883576,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2011,1.066668607,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2012,1.136131172,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2013,1.191340465,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2014,1.224582406,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2015,1.301340797,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2016,1.359382521,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2017,1.359382521,USD/m3
Western Asia,145,4551,SDG 6.4.1. Water Use Efficiency,2018,1.359382521,USD/m3
