region_el_code,relevant_el_code,country_el_code,addition,sdg_region,group_order_name,column_to_select,transboundary,indicator
"4263, 4157, 4549",4160,484,X4160 + X4162 - X4174,419,LAC,sdgregion_code,1,4550
"4263, 4157, 4549",4162,484,X4160 + X4162 - X4174,419,LAC,sdgregion_code,1,4550
"4263, 4157, 4549",4174,484,X4160 + X4162 - X4174,419,LAC,sdgregion_code,1,4550
"4263, 4157, 4549",4160,356,X4160,34,Southern Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4160,458,X4160,35,SouthEastern Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4168,643,X4168 + X4160,150,Europe,m49_level1_code,1,4550
"4263, 4157, 4549",4160,643,X4168 + X4160,150,Europe,m49_level1_code,1,4550
"4263, 4157, 4549",4168,643,X4168 + X4160,513,North America and Europe,sdgregion_code,1,4550
"4263, 4157, 4549",4160,643,X4168 + X4160,513,North America and Europe,sdgregion_code,1,4550
"4263, 4157, 4549",4160,4,X4160,62,Central Asia and Southern Asia,sdgregion_code,1,4550
"4263, 4157, 4549",4160,156,X4160,30,Eastern Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4160,156,X4160,753, Eastern Asia and Southern Asia,sdgregion_code,1,4550
"4263, 4157, 4549",4168,51,X4168,145,Western Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4168,31,X4168,145,Western Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4160,268,X4160 + X4162,145,Western Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4162,268,X4160 + X4162,145,Western Asia,m49_level2_code,1,4550
"4263, 4157, 4549",4168,51,X4168,747,Western Asia and Northern Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4168,31,X4168,747,Western Asia and Northern Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4160,268,X4160 + X4162,747,Western Asia and Northern Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4162,268,X4160 + X4162,747,Western Asia and Northern Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4160,729,X4160 + X4162,747,Western Asia and Northern Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4162,729,X4160 + X4162,747,Western Asia and Northern Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4160,729,X4160 + X4162,15,Northern Africa,m49_level2_code,1,4550
"4263, 4157, 4549",4162,729,X4160 + X4162,15,Northern Africa,m49_level2_code,1,4550
"4263, 4157, 4549",4174,728, X4174,202,Sub-Saharan Africa,sdgregion_code,1,4550
"4263, 4157, 4549",4174,484, X4174,21,North America,m49_level1_code,1,4550
"4263, 4188, 4549",,,,513,Oceania,sdgregion_code,0,4550
"4263, 4188, 4549",,,,53,AUS + NZL,sdgregion_code,0,4550
