"","aquastatElement","aquastatElement_description"
"1","4100","Total area of the country [1000 ha]"
"2","4101","Arable land area [1000 ha]"
"3","4102","Permanent crops area [1000 ha]"
"4","4104","Total population [1000 inhab]"
"5","4106","Urban population [1000 inhab]"
"6","4449","Population economically active [1000 inhab]"
"7","4109","Male population economically active in agriculture [1000 inhab]"
"8","4110","Female population economically active in agriculture [1000 inhab]"
"9","4112","Gross Domestic Product (GDP) [current US$]"
"10","4113","Agriculture, value added (% GDP) [%]"
"11","4548","Agriculture, value added to GDP [current US$]"
"12","4546","Industry, value added to GDP [current US$]"
"13","4547","Services, value added to GDP [current US$]"
"14","4111","Human Development Index (HDI) [highest = 1]"
"15","4537","Gender Inequality Index (GII) [equality = 0; inequality = 1)"
"16","4474","Prevalence of undernourishment (3-year average) [%]"
"17","4473","Number of people undernourished (3-year average) [1000 inhab]"
"18","4151","Long-term average annual precipitation in depth [mm/year]"
"19","4472","National Rainfall Index (NRI) [mm/year]"
"20","4155","Surface water produced internally [10^9 m3/year]"
"21","4154","Groundwater produced internally [10^9 m3/year]"
"22","4156","Overlap between surface water and groundwater [10^9 m3/year]"
"23","4157","Total internal renewable water resources (IRWR) [10^9 m3/year]"
"24","4158","Total internal renewable water resources per capita [m3/inhab/year]"
"25","4159","Surface water: entering the country (total) [10^9 m3/year]"
"26","4160","Surface water: inflow not submitted to treaties [10^9 m3/year]"
"27","4161","Surface water: inflow submitted to treaties [10^9 m3/year]"
"28","4162","Surface water: inflow secured through treaties [10^9 m3/year]"
"29","4165","Surface water: total flow of border rivers [10^9 m3/year]"
"30","4168","Surface water: accounted flow of border rivers [10^9 m3/year]"
"31","4166","Surface water: total flow of border rivers (actual) [10^9 m3/year]"
"32","4167","Surface water: accounted flow of border rivers (natural) [10^9 m3/year]"
"33","4169","Surface water: accounted part of border lakes (natural) [10^9 m3/year]"
"34","4170","Surface water: accounted part of border lakes (actual) [10^9 m3/year]"
"35","4171","Surface water: leaving the country to other countries (total) [10^9 m3/year]"
"36","4172","Surface water: outflow to other countries not submitted to treaties [10^9 m3/year]"
