"","geographicAreaM49","geographicAreaM49_description"
"1","4","Afghanistan"
"2","8","Albania"
"3","12","Algeria"
"4","16","American Samoa"
"5","20","Andorra"
"6","24","Angola"
"7","660","Anguilla"
"8","10","Antarctica"
"9","28","Antigua and Barbuda"
"10","32","Argentina"
"11","51","Armenia"
"12","533","Aruba"
"13","36","Australia"
"14","40","Austria"
"15","31","Azerbaijan"
"16","44","Bahamas"
"17","48","Bahrain"
"18","50","Bangladesh"
"19","52","Barbados"
"20","112","Belarus"
"21","56","Belgium"
"22","84","Belize"
"23","58","Bel-Lux(-1999)"
"24","204","Benin"
"25","60","Bermuda"
"26","64","Bhutan"
"27","68","Bolivia (Plurinational State of)"
"28","70","Bosnia and Herzegovina"
"29","72","Botswana"
"30","74","Bouvet Is"
"31","76","Brazil"
"32","86","Br Ind Oc Tr"
"33","92","British Virgin Islands"
"34","96","Brunei Darussalam"
"35","100","Bulgaria"
"36","854","Burkina Faso"
"37","108","Burundi"
"38","116","Cambodia"
"39","120","Cameroon"
"40","124","Canada"
"41","128","Canton Is"
"42","132","Cabo Verde"
"43","136","Cayman Islands"
"44","140","Central African Republic"
"45","148","Chad"
"46","830","Channel Is"
"47","152","Chile"
"48","156","China"
"49","158","China,Taiwan"
"50","162","Christmas Is"
"51","166","Cocos Is"
"52","170","Colombia"
"53","174","Comoros"
"54","178","Congo"
"55","184","Cook Islands"
"56","188","Costa Rica"
"57","384","Côte d'Ivoire"
"58","191","Croatia"
"59","192","Cuba"
"60","196","Cyprus"
"61","200","Czechoslovak(-1992)"
"62","203","Czechia"
"63","408","Democratic People's Republic of Korea"
"64","180","Democratic Republic of the Congo"
"65","208","Denmark"
"66","262","Djibouti"
"67","212","Dominica"
"68","214","Dominican Republic"
"69","218","Ecuador"
"70","818","Egypt"
"71","222","El Salvador"
"72","226","Equatorial Guinea"
"73","232","Eritrea"
"74","233","Estonia"
"75","231","Ethiopia"
"76","230","Ethiopia PDR(-1992)"
"77","238","Falkland Islands (Malvinas)"
"78","234","Faroe Islands"
"79","242","Fiji"
"80","246","Finland"
"81","250","France"
"82","254","French Guiana"
"83","258","French Polynesia"
"84","266","Gabon"
"85","270","Gambia"
"86","274","Gaza Strip(-1995)"
"87","268","Georgia"
"88","276","Germany"
"89","288","Ghana"
"90","292","Gibraltar"
"91","300","Greece"
"92","304","Greenland"
"93","308","Grenada"
"94","312","Guadeloupe"
"95","316","Guam"
"96","320","Guatemala"
"97","324","Guinea"
"98","624","Guinea-Bissau"
"99","328","Guyana"
"100","332","Haiti"
"101","336","Holy See"
"102","340","Honduras"
"103","348","Hungary"
"104","352","Iceland"
"105","356","India"
"106","360","Indonesia"
"107","364","Iran (Islamic Republic of)"
"108","368","Iraq"
"109","372","Ireland"
"110","833","Isle of Man"
"111","376","Israel"
