lement_code,element_name,disseminated,calculated,Source,source
4100,Total area of the country,D,V,O,FAOSTAT
4101,Arable land area,D,V,O,FAOSTAT
4102,Permanent crops area,D,V,O,FAOSTAT
4103,Cultivated area (arable land + permanent crops),D,V,O,FAOSTAT
4104,Total population,D,V,O,FAOSTAT
4105,Rural population,D,V,O,FAOSTAT
4106,Urban population,D,V,O,FAOSTAT
4107,Population density,D,C,C,DERIVED
4108,Population economically active in agriculture,I,C,C,DERIVED
4109,Male population economically active in agriculture,I,V,O,ILO
4110,Female population economically active in agriculture,I,V,O,ILO
4111,Human Development Index (HDI) [highest = 1],D,V,O,UNDP
4112,Gross Domestic Product (GDP),D,V,O,WORLD_BANK
4113,"Agriculture, value added (% GDP)",D,V,O,WORLD_BANK
4114,Total population with access to improved drinking-water source (JMP),D,V,O,JMP(WHO/UNICEF)
4115,Rural population with access to improved drinking-water source (JMP),D,V,O,JMP(WHO/UNICEF)
4116,Urban population with access to improved drinking-water source (JMP),D,V,O,JMP(WHO/UNICEF)
4150,Long-term average annual precipitation in volume,D,C,C,DERIVED
4151,Long-term average annual precipitation in depth,D,V,O,DERIVED
4152,Evaporation from artificial lakes and reservoirs,I,V,A,AQUASTAT
4153,Water resources produced internally in a 10th dry year frequency,I,V,A,AQUASTAT
4154,Groundwater produced internally,D,V,A,AQUASTAT
4155,Surface water produced internally,D,V,A,AQUASTAT
4156,Overlap between surface water and groundwater,D,V,A,AQUASTAT
4157,Total internal renewable water resources (IRWR),D,C,C,DERIVED
4158,Total internal renewable water resources per capita,D,C,C,DERIVED
4159,Surface water: entering the country (total),D,V,A,AQUASTAT
4160,Surface water: inflow not submitted to treaties,D,V,A,AQUASTAT
4161,Surface water: inflow submitted to treaties,D,V,A,AQUASTAT
4162,Surface water: inflow secured through treaties,D,V,A,AQUASTAT
4164,Surface water: accounted inflow,D,C,C,DERIVED
4165,Surface water: total flow of border rivers,D,V,A,AQUASTAT
4168,Surface water: accounted flow of border rivers,D,V,A,AQUASTAT
4171,Surface water: leaving the country to other countries (total),D,V,A,AQUASTAT
4172,Surface water: outflow to other countries not submitted to treaties,D,V,A,AQUASTAT
4173,Surface water: outflow to other countries submitted to treaties,D,V,A,AQUASTAT
4174,Surface water: outflow to other countries secured through treaties,D,V,A,AQUASTAT
4176,Surface water: total external renewable,D,C,C,DERIVED
4177,Groundwater: entering the country (total),D,V,A,AQUASTAT
4178,Groundwater: leaving the country to other countries (total),D,V,A,AQUASTAT
4182,Water resources: total external renewable,D,C,C,DERIVED
4185,Total renewable surface water,D,C,C,DERIVED
4187,Total renewable groundwater,D,C,C,DERIVED
4188,Total renewable water resources,D,C,C,DERIVED
4190,Total renewable water resources per capita,D,C,C,DERIVED
4192,Dependency ratio,D,C,C,DERIVED
4193,Exploitable: regular renewable surface water,D,V,A,AQUASTAT
4194,Exploitable: irregular renewable surface water,D,V,A,AQUASTAT
4195,Exploitable: regular renewable groundwater,D,V,A,AQUASTAT
4196,Total exploitable water resources,D,C,C,DERIVED
4197,Total dam capacity,D,V,A,AQUASTAT
4250,Agricultural water withdrawal,D,V,A,AQUASTAT
4251,Municipal water withdrawal,D,V,A,AQUASTAT
4252,Industrial water withdrawal,D,V,A,AQUASTAT
4253,Total water withdrawal,D,C,C,DERIVED
4254,Agricultural water withdrawal as % of total water withdrawal,D,C,C,DERIVED
4255,Municipal water withdrawal as % of total withdrawal,D,C,C,DERIVED
4256,Industrial water withdrawal as % of total water withdrawal,D,C,C,DERIVED
4257,Total water withdrawal per capita,D,C,C,DERIVED
4260,Irrigation water requirement,D,V,A,AQUASTAT
