"geographicAreaM49","geographicAreaM49_description","aquastatElement","aquastatElement_description","count_after","count_bef"
"4","Afghanistan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",8,0
"8","Albania","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"12","Algeria","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"36","Australia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"40","Austria","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"48","Bahrain","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"50","Bangladesh","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"51","Armenia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"56","Belgium","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"64","Bhutan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"68","Bolivia (Plurinational State of)","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"72","Botswana","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"76","Brazil","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"84","Belize","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"100","Bulgaria","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"104","Myanmar","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"108","Burundi","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"116","Cambodia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"120","Cameroon","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"124","Canada","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",9,0
"132","Cabo Verde","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"140","Central African Republic","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"144","Sri Lanka","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"148","Chad","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"152","Chile","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"170","Colombia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"178","Congo","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"180","Democratic Republic of the Congo","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"188","Costa Rica","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",6,0
"192","Cuba","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"196","Cyprus","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"203","Czechia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"231","Ethiopia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"232","Eritrea","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"356","India","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"360","Indonesia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"364","Iran (Islamic Republic of)","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"368","Iraq","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",9,0
"372","Ireland","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"380","Italy","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",11,0
"384","Côte d'Ivoire","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"388","Jamaica","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"392","Japan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"398","Kazakhstan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"400","Jordan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"404","Kenya","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"410","Republic of Korea","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"417","Kyrgyzstan","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"418","Lao People's Democratic Republic","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"422","Lebanon","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"426","Lesotho","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"428","Latvia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"430","Liberia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"434","Libya","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"440","Lithuania","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",12,0
"450","Madagascar","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"454","Malawi","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"458","Malaysia","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"466","Mali","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"470","Malta","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"478","Mauritania","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
"480","Mauritius","4551","SDG 6.4.1. Water Use Efficiency [US$/m3]",13,0
