"geographicAreaM49","geographicAreaM49_description","timePointYears","aquastatElement","aquastatElement_description","Value","expression","flagObservationStatus","flagMethod"
"4","Afghanistan","1967","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1967","4320","Area equipped for irrigation by groundwater [1000 ha]",418.1,"Value_4320/Value_4313<= 0.7","E","-"
"4","Afghanistan","1968","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1968","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1968","4320","Area equipped for irrigation by groundwater [1000 ha]",422.645714,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1968","4321","Area equipped for irrigation by surface water [1000 ha]",2306.542857,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1969","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1969","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1969","4320","Area equipped for irrigation by groundwater [1000 ha]",427.191429,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1969","4321","Area equipped for irrigation by surface water [1000 ha]",2316.085714,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1970","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1970","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1970","4320","Area equipped for irrigation by groundwater [1000 ha]",431.737143,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1970","4321","Area equipped for irrigation by surface water [1000 ha]",2325.628571,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1971","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1971","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1971","4320","Area equipped for irrigation by groundwater [1000 ha]",436.282857,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1971","4321","Area equipped for irrigation by surface water [1000 ha]",2335.171429,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1972","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1972","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1972","4320","Area equipped for irrigation by groundwater [1000 ha]",440.828571,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1972","4321","Area equipped for irrigation by surface water [1000 ha]",2344.714286,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1973","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1973","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1973","4320","Area equipped for irrigation by groundwater [1000 ha]",445.374286,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1973","4321","Area equipped for irrigation by surface water [1000 ha]",2354.257143,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1974","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1974","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1974","4320","Area equipped for irrigation by groundwater [1000 ha]",449.92,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1974","4321","Area equipped for irrigation by surface water [1000 ha]",2363.8,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1975","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1975","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1975","4320","Area equipped for irrigation by groundwater [1000 ha]",454.465714,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1975","4321","Area equipped for irrigation by surface water [1000 ha]",2373.342857,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1976","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1976","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1976","4320","Area equipped for irrigation by groundwater [1000 ha]",459.011429,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1976","4321","Area equipped for irrigation by surface water [1000 ha]",2382.885714,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1977","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1977","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1977","4320","Area equipped for irrigation by groundwater [1000 ha]",463.557143,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1977","4321","Area equipped for irrigation by surface water [1000 ha]",2392.428571,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1978","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1978","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1978","4320","Area equipped for irrigation by groundwater [1000 ha]",468.102857,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1978","4321","Area equipped for irrigation by surface water [1000 ha]",2401.971429,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1979","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1979","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1979","4320","Area equipped for irrigation by groundwater [1000 ha]",472.648571,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1979","4321","Area equipped for irrigation by surface water [1000 ha]",2411.514286,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1980","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1980","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1980","4320","Area equipped for irrigation by groundwater [1000 ha]",477.194286,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1980","4321","Area equipped for irrigation by surface water [1000 ha]",2421.057143,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1981","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1981","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1981","4320","Area equipped for irrigation by groundwater [1000 ha]",481.74,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1981","4321","Area equipped for irrigation by surface water [1000 ha]",2430.6,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1982","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1982","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1982","4320","Area equipped for irrigation by groundwater [1000 ha]",486.285714,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1982","4321","Area equipped for irrigation by surface water [1000 ha]",2440.142857,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1983","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1983","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1983","4320","Area equipped for irrigation by groundwater [1000 ha]",490.831429,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1983","4321","Area equipped for irrigation by surface water [1000 ha]",2449.685714,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1984","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1984","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1984","4320","Area equipped for irrigation by groundwater [1000 ha]",495.377143,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1984","4321","Area equipped for irrigation by surface water [1000 ha]",2459.228571,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1985","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1985","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1985","4320","Area equipped for irrigation by groundwater [1000 ha]",499.922857,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1985","4321","Area equipped for irrigation by surface water [1000 ha]",2468.771429,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1986","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1986","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1986","4320","Area equipped for irrigation by groundwater [1000 ha]",504.468571,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1986","4321","Area equipped for irrigation by surface water [1000 ha]",2478.314286,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1987","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1987","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1987","4320","Area equipped for irrigation by groundwater [1000 ha]",509.014286,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1987","4321","Area equipped for irrigation by surface water [1000 ha]",2487.857143,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1988","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1988","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1988","4320","Area equipped for irrigation by groundwater [1000 ha]",513.56,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1988","4321","Area equipped for irrigation by surface water [1000 ha]",2497.4,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1989","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1989","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1989","4320","Area equipped for irrigation by groundwater [1000 ha]",518.105714,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1989","4321","Area equipped for irrigation by surface water [1000 ha]",2506.942857,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1990","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1990","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4318<=Value_4313","E","i"
"4","Afghanistan","1990","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1990","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2660,"Value_4318<=Value_4313","","p"
"4","Afghanistan","1990","4320","Area equipped for irrigation by groundwater [1000 ha]",522.651429,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1990","4321","Area equipped for irrigation by surface water [1000 ha]",2516.485714,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1991","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1991","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4318<=Value_4313","E","i"
"4","Afghanistan","1991","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1991","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2583.222222,"Value_4318<=Value_4313","I","e"
"4","Afghanistan","1991","4320","Area equipped for irrigation by groundwater [1000 ha]",527.197143,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1991","4321","Area equipped for irrigation by surface water [1000 ha]",2526.028571,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1992","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","1992","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4318<=Value_4313","E","i"
"4","Afghanistan","1992","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1992","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2506.444444,"Value_4318<=Value_4313","I","e"
"4","Afghanistan","1992","4320","Area equipped for irrigation by groundwater [1000 ha]",531.742857,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","1992","4321","Area equipped for irrigation by surface water [1000 ha]",2535.571429,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","1993","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4318<=Value_4313","E","i"
"4","Afghanistan","1993","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","1993","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2429.666667,"Value_4318<=Value_4313","I","e"
